epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7408,1.54767,3.59042,1.81654,0.53838,0.36129,0.41114,0.1952,1.6051,2.86601,1.58291,0.0700794,0.00332451,0.00332451
2,122.107,1.44358,2.32147,1.65735,0.66025,0.41265,0.48418,0.19533,1.85788,3.16531,1.84053,0.0394202,0.00599872,0.00599872
3,155.272,1.45301,2.02685,1.65621,0.60515,0.49291,0.50667,0.24405,1.6626,2.44716,1.69276,0.00810111,0.00801293,0.00801293
4,188.145,1.49597,1.93108,1.69277,0.58767,0.56009,0.56166,0.22405,1.81046,2.78915,1.76175,0.00703,0.00703,0.00703
5,219.939,1.43325,1.74462,1.60899,0.67463,0.56422,0.60222,0.26753,1.7207,3.57968,1.67713,0.00604,0.00604,0.00604
6,251.74,1.36371,1.54268,1.55918,0.67393,0.57246,0.63376,0.29862,1.73992,2.48186,1.67025,0.00505,0.00505,0.00505
7,283.404,1.29216,1.35376,1.47196,0.73932,0.60423,0.66054,0.31726,1.83761,2.46971,1.75618,0.00406,0.00406,0.00406
8,318.064,1.23524,1.22786,1.43889,0.76419,0.71174,0.78317,0.38781,1.65266,2.22499,1.5894,0.00307,0.00307,0.00307
9,350.13,1.17905,1.07603,1.39472,0.75771,0.75901,0.79191,0.44462,1.58086,1.65321,1.51888,0.00208,0.00208,0.00208
10,382.037,1.10289,0.95318,1.32123,0.83759,0.72283,0.81177,0.45255,1.57297,1.69535,1.50226,0.00109,0.00109,0.00109
