epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6274,1.68619,2.78486,1.86368,0.45374,0.4339,0.38955,0.14743,1.96103,2.6213,1.96555,0.0670873,0.000332451,0.000332451
2,79.824,1.60315,2.21431,1.77845,0.50613,0.45771,0.49224,0.227,1.7717,2.77967,1.82241,0.0340543,0.000632828,0.000632828
3,114.578,1.55243,2.07068,1.73432,0.60744,0.5414,0.56607,0.29845,1.675,2.50525,1.74583,0.000988389,0.000900205,0.000900205
4,155.117,1.48659,1.88969,1.67551,0.64221,0.58037,0.61904,0.32688,1.64578,3.09804,1.71549,0.0008515,0.0008515,0.0008515
5,190.368,1.45303,1.74595,1.62564,0.80145,0.55953,0.6823,0.36031,1.5877,2.47987,1.70052,0.000802,0.000802,0.000802
6,232.28,1.41103,1.66018,1.60307,0.75365,0.61801,0.71557,0.39228,1.59435,1.86212,1.67399,0.0007525,0.0007525,0.0007525
7,271.553,1.368,1.54377,1.55636,0.77475,0.63382,0.74273,0.37675,1.68106,1.75901,1.72561,0.000703,0.000703,0.000703
8,305.826,1.34189,1.46615,1.53727,0.78309,0.68778,0.78352,0.45591,1.50752,1.58896,1.5578,0.0006535,0.0006535,0.0006535
9,338.567,1.29446,1.446,1.50527,0.80899,0.76263,0.83033,0.4944,1.45143,1.47655,1.52138,0.000604,0.000604,0.000604
10,372.43,1.28801,1.37899,1.49382,0.81908,0.68348,0.80177,0.47025,1.50196,1.66721,1.59041,0.0005545,0.0005545,0.0005545
11,424.611,1.14279,0.97661,1.43047,0.85567,0.67988,0.82063,0.47767,1.41793,1.57573,1.5282,0.000505,0.000505,0.000505
12,480.34,1.11684,0.90672,1.41497,0.81448,0.77604,0.83976,0.51569,1.41477,1.63703,1.47995,0.0004555,0.0004555,0.0004555
13,527.675,1.08991,0.85805,1.38573,0.82663,0.743,0.82294,0.51827,1.31371,1.72901,1.41276,0.000406,0.000406,0.000406
14,566.239,1.06656,0.78558,1.36902,0.83946,0.77713,0.85069,0.54575,1.30048,1.37474,1.40334,0.0003565,0.0003565,0.0003565
15,611.874,1.0278,0.74075,1.33591,0.8145,0.82197,0.86013,0.53291,1.39155,1.42782,1.44934,0.000307,0.000307,0.000307
16,649.718,0.98741,0.68949,1.29759,0.85404,0.81352,0.86402,0.56096,1.26279,1.22096,1.3724,0.0002575,0.0002575,0.0002575
17,686.669,0.9564,0.63746,1.27285,0.88922,0.77545,0.85869,0.54976,1.31813,1.39496,1.41861,0.000208,0.000208,0.000208
18,722.345,0.9442,0.62126,1.26065,0.90072,0.78671,0.87555,0.57891,1.2744,1.29332,1.40413,0.0001585,0.0001585,0.0001585
19,756.078,0.90019,0.57964,1.22563,0.86972,0.81997,0.88354,0.60826,1.18365,1.27422,1.33575,0.000109,0.000109,0.000109
20,789.89,0.88139,0.56033,1.22252,0.89116,0.82225,0.89123,0.61537,1.18719,1.269,1.33997,5.95e-05,5.95e-05,5.95e-05
